Contaminant,Contaminant class,Phytoplankton,Submerged Macrophyte,Zooplankton,"Diet - Small polychaete (e.g., Harmothoe imbricata)","Diet - Large polychaete (e.g., Neanthes)",Amphipod,Cumacean,Mysid,Bivalve mollusk,Decapod crab,Crangon shrimp,Forage fish - herbivore,Forage fish - planktivore,Forage fish  - primarily benthivore,Forage fish - benthivore,Forage fish - mixed diet i,Forage fish - mixed diet ii,Indicator species 1 - Piscivore,Indicator species 2 - Benthic diet with piscivory,Indicator species 3 - Benthic and pelagic with piscivory,Indicator species 4 - Benthic without piscivory,Indicator species 5 - Benthic and pelagic without piscivory,Indicator species 6 - Benthic with herbivory,Indicator species 7 - Benthic and pelagic with herbivory,Indicator species 8- Pelagic with benthic herbivory
PCB 66,PCBs,0.39766995,0.39283644,0.56843158,0.785089709,1.625552356,0.809780485,0.661581279,0.668931664,0.733132893,2.400714285,1.060753469,0.749191213,2.633850984,3.092512597,5.723489554,2.296181097,6.307235499,4.447356579,4.422259088,5.523810648,6.580023975,2.374828606,6.041930047,1.484551074,4.675503052
PCB 70,PCBs,0.381896109,0.369293709,0.584703756,0.851586589,1.823980249,0.879364604,0.700419889,0.714381989,0.766060972,2.643973149,1.148466423,0.763448893,2.871795999,3.530696806,6.628863134,2.597783304,7.147999144,5.156493646,5.175359122,6.360346283,7.451267362,2.674498855,6.439511942,1.610912836,4.76556501
PCB 74,PCBs,0.38002023,0.366559846,0.586365188,0.85963015,1.847271282,0.887448223,0.704820818,0.719615294,0.769753684,2.671651355,1.158909034,0.764648605,2.898462031,3.582068461,6.735796647,2.633072251,7.245757084,5.238703195,5.263186271,6.456245492,7.552705282,2.70923529,6.483525838,1.625225325,4.773982825
PCB 77,PCBs,0.348956002,0.323197998,0.60579546,0.997108102,2.223247456,1.014449158,0.770643768,0.799935754,0.824088243,3.093495878,1.328963987,0.771440502,3.29069877,4.405233594,8.468675702,3.193908799,8.784903021,6.527851759,6.65476112,7.923599302,9.163195142,3.255555927,7.126475252,1.84161255,4.860149758
PCB 81,PCBs,0.351193472,0.326205553,0.604891099,0.986932679,2.196789411,1.005768784,0.766358976,0.794587956,0.820601212,3.065348975,1.317023322,0.771702019,3.265535413,4.34785722,8.346827023,3.155197636,8.67950357,6.439803271,6.558820576,7.825852487,9.051693936,3.218076527,7.085184015,1.827294558,4.85681257
PCB 87,PCBs,0.324476156,0.291384901,0.611456486,1.113500561,2.511767623,1.106214289,0.813938686,0.854884637,0.859147985,3.386273506,1.457835392,0.76281887,3.543354098,5.025985787,9.796948521,3.607804839,9.907820118,7.463833627,7.681983291,8.937455433,10.36735157,3.655581972,7.548621528,1.989979722,4.880122568
PCB 95,PCBs,0.386720577,0.376388192,0.580455896,0.83175381,1.765953746,0.859219599,0.689408648,0.701345369,0.756847601,2.574532254,1.122809121,0.760348842,2.805292095,3.403510249,6.365347292,2.510381089,6.906611544,4.952691104,4.957614881,6.1220507,7.200593907,2.588140235,6.330616028,1.575248132,4.745322184
PCB 97,PCBs,0.343574008,0.316033786,0.608136065,1.023413303,2.29085492,1.036684789,0.781648448,0.813692253,0.833160077,3.165278561,1.360155968,0.771061569,3.356183092,4.553913431,8.786453657,3.294138304,9.060382866,6.75659961,6.903294542,8.177379128,9.453963563,3.352275036,7.236374505,1.878752145,4.872178722
PCB 99,PCBs,0.321998041,0.288271959,0.611508502,1.125433563,2.539899464,1.114777214,0.81772744,0.859788487,0.862174106,3.413189388,1.469962276,0.761259215,3.565093701,5.085278544,9.924371605,3.646716066,10.01225729,7.551071965,7.778790352,9.028874273,10.48178295,3.693272394,7.585491061,2.003382023,4.879470979
PCB 101,PCBs,0.334016458,0.303550256,0.610450739,1.068084738,2.402314108,1.072248444,0.798487497,0.835043028,0.846757075,3.278889194,1.409907146,0.767796641,3.454193211,4.793420217,9.298172817,3.454081756,9.493667853,7.118130631,7.300054156,8.569918756,9.917932199,3.506875639,7.398917481,1.936169875,4.879126621
